Nº/Série;Data de Emissão;CNPJ Emitente;Emitente;CNPJ Destinatário;Destinatário;Categoria;Subcategoria;Produto;Unid. Medida;Quantidade;Valor Unitário;Valor Total
2020/001;28/10/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.565.000/0001-92;PREFEITURA DA CIDADE DO RECIFE;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;5.00;41.00;205.00
2009/001;26/10/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;2.00;41.00;82.00
1995/001;19/10/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;2.00;41.00;82.00
1990/001;13/10/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;1.00;41.00;41.00
1987/001;06/10/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;2.00;41.00;82.00
1983/001;05/10/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;2.00;41.00;82.00
1977/001;27/09/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;4.00;41.00;164.00
1971/001;26/09/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;4.00;41.00;164.00
1969/001;23/09/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;2.00;41.00;82.00
1967/001;23/09/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;2.00;41.00;82.00
1964/001;22/09/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;3.00;41.00;123.00
1962/001;21/09/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;3.00;41.00;123.00
1935/001;01/09/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;4.00;41.00;164.00
1981/001;29/09/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;3.00;40.50;121.50
1961/001;21/09/2022;06.089.675/0001-35;IVONETE FERNANDES DA SILVA;10.404.184/0001-09;SECRETARIA DE EDUCACAO DE OLINDA;PRODUTOS QUÍMICOS ORGÂNICOS;29051100 - METANOL (ÁLCOOL METÍLICO);ALCOOL LIQUIDO 5 LT;UN;3.00;39.80;119.40
125/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;10.00;37.80;378.00
124/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;2.00;37.80;75.60
121/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;4.00;37.80;151.20
119/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;2.00;37.80;75.60
117/001;18/01/2023;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;10.00;37.80;378.00
100/001;21/12/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;4.00;37.80;151.20
91/001;02/12/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;4.00;37.80;151.20
86/001;01/12/2022;44.990.373/0001-22;GT COMERCIO;30.586.637/0001-72;SECRETARIA MUNICIPAL DE EDUCACAO;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;13.00;37.80;491.40
69/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;6.00;37.80;226.80
68/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;2.00;37.80;75.60
66/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;2.00;37.80;75.60
65/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;3.00;37.80;113.40
63/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;30.586.637/0001-72;SECRETARIA MUNICIPAL DE EDUCACAO;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;10.00;37.80;378.00
62/001;04/10/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;8.00;37.80;302.40
50/001;23/09/2022;44.990.373/0001-22;GT COMERCIO;30.586.637/0001-72;SECRETARIA MUNICIPAL DE EDUCACAO;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;10.00;37.80;378.00
47/001;23/09/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;3.00;37.80;113.40
46/001;23/09/2022;44.990.373/0001-22;GT COMERCIO;12.258.093/0001-38;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;2.00;37.80;75.60
44/001;23/09/2022;44.990.373/0001-22;GT COMERCIO;11.251.832/0001-05;MUNICIPIO DE SAO LOURENCO DA MATA;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;2.00;37.80;75.60
43/001;22/09/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;6.00;37.80;226.80
41/001;22/09/2022;44.990.373/0001-22;GT COMERCIO;12.257.765/0001-90;FUNDO MUNICIPAL DE SAUDE;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22089000 - OUTRAS BEBIDAS ESPIRITUOSAS (ALCOÓLICAS);ALCOOL ETILICO 46;CX;8.00;37.80;302.40
172/001;30/08/2022;43.880.050/0001-13;A C L S COMERCIO E SERVICOS LTDA;15.408.640/0001-02;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL 12X500ML;CX;2.00;37.32;74.64
232/001;21/10/2022;43.880.050/0001-13;UNITY COMERCIO E REPRESENTACOES LTDA;15.408.640/0001-02;FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL 12X500ML;CX;1.00;37.32;37.32
12319/001;29/12/2022;20.008.831/0001-17;VIVA DISTRIBUIDORA DE PRODUTOS LTDA;11.286.235/0001-08;FUNDO MUNICIPAL DE SAUDE DO RIO FORMOSO;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL EM GEL;UN;250.00;34.85;8,712.50
10164/001;29/09/2022;20.008.831/0001-17;VIVA DISTRIBUIDORA DE PRODUTOS LTDA;11.286.235/0001-08;FUNDO MUNICIPAL DE SAUDE DO RIO FORMOSO;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22072019 - OUTROS ÁLCOOIS ETÍLICOS DESN.C/QUALQ.TEOR ALCOÓLICO;ALCOOL ETILICO 70%;UN;200.00;32.95;6,590.00
85833/001;31/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85810/001;30/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85796/001;27/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85673/001;18/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;2.00;27.96;55.92
85633/001;17/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85622/001;16/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;2.00;27.96;55.92
85479/001;03/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85463/001;02/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85459/001;02/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;2.00;27.96;55.92
85458/001;02/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85454/001;02/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85453/001;02/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85452/001;02/01/2023;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85282/001;20/12/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85281/001;20/12/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85275/001;20/12/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;2.00;27.96;55.92
85273/001;20/12/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;2.00;27.96;55.92
85272/001;20/12/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85058/001;06/12/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85015/001;05/12/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85014/001;05/12/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85013/001;05/12/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
85012/001;05/12/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;2.00;27.96;55.92
85011/001;05/12/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;2.00;27.96;55.92
84971/001;30/11/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
84874/001;22/11/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;3.00;27.96;83.88
84852/001;21/11/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;2.00;27.96;55.92
84851/001;21/11/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
84842/001;21/11/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
84841/001;21/11/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
84699/001;08/11/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
84694/001;08/11/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
84675/001;07/11/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
84671/001;07/11/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;1.00;27.96;27.96
84524/001;26/10/2022;00.375.180/0001-96;T.M. VASCONCELOS LTDA.;03.191.595/0001-06;CENTRO DE PREVENCAO AS DEPENDENCIAS;BEBIDAS, LÍQUIDOS ALCOÓLICOS E VINAGRES;22090000 - VINAGRES E SUCEDÂNEOS OBT.ÁC.ACÉTICO P/ALIM.;VINAGRE DE ALCOOL PALMEIRON 12X500ML;CX;2.00;27.96;55.92
